Designator,Quantity,Value,Footprint,LCSC Part#
"C1, C2, C4, C5, ",4,20pF,603,C1648 
"C9, C10, C11, C12, C13, C14, C15, C16, ",8,10nF,603,C57112 
"C3, C7, ",2,100pF,603,C14858 
"C6, C17, C18, ",3,4.7uF,805,C1779 
"C8, ",1,1uF,603,C28323 
"C19, C20, C21, C26, ",4,10uF,805,C440198 
"C22, C25, ",2,100nF,603,C14663 
"C27, C28, C29, C30, ",4,100nF,402,C307331 
D1,2,LED,805,C2296 
D4 ,2,LED,805,C2297 
"D2, D3, ",2,D_Shockley,SOD-323,C191023
"FB1, ",1,GZ2012D601TF,805,C1017 
"J1, ",1,USB_C(U262-161N-4BVC11),USB-3.1-SMD,C319148 
"J2, ",1,FH28-40S-0.5SH(07),FPC-SMD,C424677 
"L1, L2, ",2,2.2uH,IND-SMD,C136245
"Q1, Q2, ",2,AO3400(NMOS),SOT-23,C20917 
"Q3, Q4, ",2,AO3401,SOT-23,C15127 
"R1, R3, R6, R7, R8, R9, R10, R11, R12, R13, R14, R16, R23, R25, ",14,10K,603,C25804 
"R2, ",1,5.1K,603,C23186 
"R4, ",1,10R,603,C22859 
"R5, ",1,20K,603,C4184
"R15, ",1,3.3K,603,C22978 
"R17, ",1,1K,603,C21190 
"R18, R26, ",2,100R,603,C22775
"R19, R20, ",2,100K,603,C25803 
"R21, ",1,430K,603,C25969 
"R22, ",1,200K,603,C25811
"R24, ",1,4.7K,603,C23162
"SW1, SW2, ",2,TS-1187,SMD-SW-4_5.1x5.1x1.5,C318884 
"SW3, SW4, ",2,SKSHAAE010,SW-SMD,C262415 
"SW5, SW6, SW7, SW8, SW9, SW10, ",6,SKRRAAE010,KEY-SMD,C97437 
"U1, ",1,STM32F412RET6,LQFP-64_10.0x10.0x0.5P,C89374 
"U2, ",1,TL431,SOT-23-3,C350683
"U3, U4, ",2,TLV62569DBV,SOT-23-5,C141836
"Y1, ",1,X322525-25MHz 12pF,SMD-3225_4P,C9006
"Y2, ",1,FC135-32.768kHz 12.5pF,SMD-3215_2P,C32346
